# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000028,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:46
000028,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:28
000029,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:50
000029,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:33
000029,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:37
000030,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:25
000030,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:21
000030,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:31
000031,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:02
000031,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:56
000031,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:25
000032,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:03
000032,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:08
000032,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:49
000033,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:46
000033,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:38
000033,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:40
000034,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:49
000034,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:46
000034,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:58
000035,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:45
000035,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:30
000035,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:50
000036,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:30
000036,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:14
000036,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:35
000037,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:10
000037,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:21
000037,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:43
000038,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:28
000038,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:28
000038,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:31
000039,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:45
000039,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:21
000039,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:43
000040,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:09
000040,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:05
000040,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:18
000041,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:06:27
000041,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:06:13
000041,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:55
000042,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:18
000042,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:35
000042,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:05
000043,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:38
000043,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:59
000043,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:22
000044,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:08
000044,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:06
000044,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:06:31
000045,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:00
000045,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:45
000045,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:13
000046,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:41
000046,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:36
000046,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:48
000047,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:07
000047,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:01
000047,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:36
000048,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:18
000048,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:31
000048,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:11
000049,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:47
000049,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:06:07
000049,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:00
000050,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:06
000050,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:35
000050,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:29
000051,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:17
